n,N,n_sim,time_seconds
4,40,100,0.13035704199864995
4,40,500,0.37559437500021886
4,40,1000,0.6807087499910267
4,40,2000,1.3777514579996932
4,40,4000,2.770868082996458
4,40,8000,5.55345504199795
4,100,100,0.0717767080059275
4,100,500,0.3742750410019653
4,100,1000,0.6776250830007484
4,100,2000,1.372499125005561
4,100,4000,2.9222611250006594
4,100,8000,5.501991375000216
4,500,100,0.08509724999021273
4,500,500,0.40048204200866167
4,500,1000,0.8251230419991771
4,500,2000,1.6348117080051452
4,500,4000,3.243438834004337
4,500,8000,6.507006375002675
10,40,100,0.0995773329923395
10,40,500,0.4527001249953173
10,40,1000,0.9743695840006694
10,40,2000,1.855817500007106
10,40,4000,3.7129361660045106
10,40,8000,7.451304292000714
10,100,100,0.08832062500005122
10,100,500,0.4316267499962123
10,100,1000,0.8556971249927301
10,100,2000,1.7369032080023317
10,100,4000,3.4941600000020117
10,100,8000,6.9897101250098785
10,500,100,0.10116858300170861
10,500,500,0.492551999996067
10,500,1000,0.9739139589946717
10,500,2000,2.0335103329998674
10,500,4000,4.222790540996357
10,500,8000,8.417845583011513
20,100,100,0.10933054100314621
20,100,500,0.5119908330088947
20,100,1000,1.050490666006226
20,100,2000,2.0636005840060534
20,100,4000,4.215137582999887
20,100,8000,8.242956582995248
20,500,100,0.11638387499260716
20,500,500,0.6191268749971641
20,500,1000,1.131667458001175
20,500,2000,2.2752695410017623
20,500,4000,4.5586256660026265
20,500,8000,9.288922000007005
20,2000,100,0.19065820900141262
20,2000,500,0.8994882909901207
20,2000,1000,1.8527794589899713
20,2000,2000,3.977558250000584
20,2000,4000,9.584843999997247
20,2000,8000,14.903258540987736
